2024-08-14 16:14:57.815 | DEBUG    | 28332:22688 | nxpy.db.executor:make_statement:410 - sql [quant_data_clear.get_history_no.0] = [SELECT CurrValue FROM quant.t_Counter WHERE CounterID = 't_QuantTestHistory' FOR UPDATE]
2024-08-15 14:41:14.683 | INFO     | 10924:11208 | nxpy.service.service_player:info:69 - quant_clearer deal [8801]->[./media/yimt/e/temp/futurequant/out\00030675\20211120225021]
2024-08-15 14:52:23.223 | DEBUG    | 30860:30500 | nxpy.db.executor:make_statement:444 - sql [quant_data_clear.get_history_no.0] = [SELECT CurrValue FROM quant.t_Counter WHERE CounterID = 't_QuantTestHistory' FOR UPDATE]
2024-08-15 14:52:23.808 | DEBUG    | 30860:30500 | nxpy.db.executor:make_statement:444 - sql [quant_data_clear.get_history_no.1] = [UPDATE quant.t_Counter SET CurrValue = %s WHERE CounterID = 't_QuantTestHistory']
2024-08-15 14:52:23.870 | INFO     | 30860:30500 | nxpy.service.service_player:info:69 - quant_clearer deal [8770]->[./media/yimt/e/temp/futurequant/out\00030675\20211120225021]
2024-08-15 14:52:23.916 | DEBUG    | 30860:30500 | nxpy.db.executor:make_statement:444 - sql [quant_data_clear.clean_future_simtest_data.0] = [DELETE FROM quant.t_Future_SimTestInfo WHERE HistoryNo = %s]
2024-08-15 14:52:23.955 | DEBUG    | 30860:30500 | nxpy.db.executor:make_statement:444 - sql [quant_data_clear.clean_future_simtest_data.1] = [DELETE FROM quant.t_Future_SimTestInitPosition WHERE HistoryNo = %s]
2024-08-15 14:52:23.987 | DEBUG    | 30860:30500 | nxpy.db.executor:make_statement:444 - sql [quant_data_clear.clean_future_simtest_data.2] = [DELETE FROM quant.t_Future_SimTestOrder WHERE HistoryNo = %s]
2024-08-15 14:52:24.021 | DEBUG    | 30860:30500 | nxpy.db.executor:make_statement:444 - sql [quant_data_clear.clean_future_simtest_data.3] = [DELETE FROM quant.t_Future_SimTestTrade WHERE HistoryNo = %s]
2024-08-15 14:52:24.045 | DEBUG    | 30860:30500 | nxpy.db.executor:make_statement:444 - sql [quant_data_clear.clean_future_simtest_data.4] = [DELETE FROM quant.t_Future_SimTestPosition WHERE HistoryNo = %s]
2024-08-15 14:52:24.072 | DEBUG    | 30860:30500 | nxpy.db.executor:make_statement:444 - sql [quant_data_clear.clean_future_simtest_data.5] = [DELETE FROM quant.t_Future_SimTestPositionDetail WHERE HistoryNo = %s]
2024-08-15 14:52:24.104 | DEBUG    | 30860:30500 | nxpy.db.executor:make_statement:444 - sql [quant_data_clear.clean_future_simtest_data.6] = [DELETE FROM quant.t_Future_SimTestSubMD WHERE HistoryNo = %s]
2024-08-15 14:52:24.146 | DEBUG    | 30860:30500 | nxpy.db.executor:make_statement:444 - sql [quant_data_clear.clean_future_simtest_data.7] = [DELETE FROM quant.t_Future_SimTestTradingAccount WHERE HistoryNo = %s]
