2024-08-06 13:58:44.314 | ERROR    | 4196:18368 | nxpy.service.service_player:error:82 - quant_clearer [WinError 3] 系统找不到指定的路径。: '/media/yimt/e/temp/futurequant/out'
2024-08-06 14:09:51.785 | ERROR    | 18456:25816 | nxpy.service.service_player:error:82 - quant_clearer [WinError 3] 系统找不到指定的路径。: '/data/test'
2024-08-06 14:09:54.788 | ERROR    | 18456:25816 | nxpy.service.service_player:error:82 - quant_clearer [WinError 3] 系统找不到指定的路径。: '/data/test'
2024-08-06 14:09:57.796 | ERROR    | 18456:25816 | nxpy.service.service_player:error:82 - quant_clearer [WinError 3] 系统找不到指定的路径。: '/data/test'
2024-08-06 14:10:00.800 | ERROR    | 18456:25816 | nxpy.service.service_player:error:82 - quant_clearer [WinError 3] 系统找不到指定的路径。: '/data/test'
2024-08-06 14:10:03.811 | ERROR    | 18456:25816 | nxpy.service.service_player:error:82 - quant_clearer [WinError 3] 系统找不到指定的路径。: '/data/test'
2024-08-06 14:10:06.820 | ERROR    | 18456:25816 | nxpy.service.service_player:error:82 - quant_clearer [WinError 3] 系统找不到指定的路径。: '/data/test'
2024-08-06 14:10:09.824 | ERROR    | 18456:25816 | nxpy.service.service_player:error:82 - quant_clearer [WinError 3] 系统找不到指定的路径。: '/data/test'
2024-08-06 14:10:12.836 | ERROR    | 18456:25816 | nxpy.service.service_player:error:82 - quant_clearer [WinError 3] 系统找不到指定的路径。: '/data/test'
2024-08-06 14:10:15.840 | ERROR    | 18456:25816 | nxpy.service.service_player:error:82 - quant_clearer [WinError 3] 系统找不到指定的路径。: '/data/test'
2024-08-06 14:10:18.843 | ERROR    | 18456:25816 | nxpy.service.service_player:error:82 - quant_clearer [WinError 3] 系统找不到指定的路径。: '/data/test'
2024-08-06 14:12:22.859 | ERROR    | 23524:18816 | nxpy.service.service_player:error:82 - quant_clearer [WinError 3] 系统找不到指定的路径。: './data/test'
2024-08-06 14:12:25.871 | ERROR    | 23524:18816 | nxpy.service.service_player:error:82 - quant_clearer [WinError 3] 系统找不到指定的路径。: './data/test'
2024-08-06 14:12:28.871 | ERROR    | 23524:18816 | nxpy.service.service_player:error:82 - quant_clearer [WinError 3] 系统找不到指定的路径。: './data/test'
2024-08-06 14:12:31.878 | ERROR    | 23524:18816 | nxpy.service.service_player:error:82 - quant_clearer [WinError 3] 系统找不到指定的路径。: './data/test'
2024-08-06 14:12:34.891 | ERROR    | 23524:18816 | nxpy.service.service_player:error:82 - quant_clearer [WinError 3] 系统找不到指定的路径。: './data/test'
2024-08-06 14:12:37.895 | ERROR    | 23524:18816 | nxpy.service.service_player:error:82 - quant_clearer [WinError 3] 系统找不到指定的路径。: './data/test'
2024-08-06 14:12:40.904 | ERROR    | 23524:18816 | nxpy.service.service_player:error:82 - quant_clearer [WinError 3] 系统找不到指定的路径。: './data/test'
2024-08-06 14:12:43.910 | ERROR    | 23524:18816 | nxpy.service.service_player:error:82 - quant_clearer [WinError 3] 系统找不到指定的路径。: './data/test'
2024-08-06 14:12:46.924 | ERROR    | 23524:18816 | nxpy.service.service_player:error:82 - quant_clearer [WinError 3] 系统找不到指定的路径。: './data/test'
2024-08-06 14:13:27.134 | ERROR    | 16064:11192 | nxpy.service.service_player:error:82 - quant_clearer [WinError 123] 文件名、目录名或卷标语法不正确。: 'D:\\Desktop\\note-docsify\\nxops_quant\\nxops\\simrun\\quant\\data\test'
2024-08-06 14:13:30.148 | ERROR    | 16064:11192 | nxpy.service.service_player:error:82 - quant_clearer [WinError 123] 文件名、目录名或卷标语法不正确。: 'D:\\Desktop\\note-docsify\\nxops_quant\\nxops\\simrun\\quant\\data\test'
2024-08-06 14:13:33.154 | ERROR    | 16064:11192 | nxpy.service.service_player:error:82 - quant_clearer [WinError 123] 文件名、目录名或卷标语法不正确。: 'D:\\Desktop\\note-docsify\\nxops_quant\\nxops\\simrun\\quant\\data\test'
2024-08-06 15:47:52.896 | ERROR    | 30424:24256 | nxpy.service.service_player:error:82 - quant_clearer [WinError 3] 系统找不到指定的路径。: '/media/yimt/e/temp/futurequant/out'
2024-08-06 15:47:55.900 | ERROR    | 30424:24256 | nxpy.service.service_player:error:82 - quant_clearer [WinError 3] 系统找不到指定的路径。: '/media/yimt/e/temp/futurequant/out'
2024-08-06 15:47:58.914 | ERROR    | 30424:24256 | nxpy.service.service_player:error:82 - quant_clearer [WinError 3] 系统找不到指定的路径。: '/media/yimt/e/temp/futurequant/out'
2024-08-06 15:48:16.876 | ERROR    | 21304:30288 | nxpy.service.service_player:error:82 - quant_clearer [WinError 3] 系统找不到指定的路径。: '/media/yimt/e/temp/futurequant/out'
2024-08-06 15:48:19.887 | ERROR    | 21304:30288 | nxpy.service.service_player:error:82 - quant_clearer [WinError 3] 系统找不到指定的路径。: '/media/yimt/e/temp/futurequant/out'
2024-08-06 15:48:22.897 | ERROR    | 21304:30288 | nxpy.service.service_player:error:82 - quant_clearer [WinError 3] 系统找不到指定的路径。: '/media/yimt/e/temp/futurequant/out'
2024-08-06 15:48:25.903 | ERROR    | 21304:30288 | nxpy.service.service_player:error:82 - quant_clearer [WinError 3] 系统找不到指定的路径。: '/media/yimt/e/temp/futurequant/out'
2024-08-06 15:48:28.911 | ERROR    | 21304:30288 | nxpy.service.service_player:error:82 - quant_clearer [WinError 3] 系统找不到指定的路径。: '/media/yimt/e/temp/futurequant/out'
2024-08-06 15:48:37.166 | ERROR    | 15416:24472 | nxpy.service.service_player:error:82 - quant_clearer [WinError 3] 系统找不到指定的路径。: '/media/yimt/e/temp/futurequant/out'
2024-08-06 15:48:40.174 | ERROR    | 15416:24472 | nxpy.service.service_player:error:82 - quant_clearer [WinError 3] 系统找不到指定的路径。: '/media/yimt/e/temp/futurequant/out'
2024-08-06 15:48:43.176 | ERROR    | 15416:24472 | nxpy.service.service_player:error:82 - quant_clearer [WinError 3] 系统找不到指定的路径。: '/media/yimt/e/temp/futurequant/out'
2024-08-06 15:49:21.464 | ERROR    | 9672:23380 | nxpy.service.service_player:error:82 - quant_clearer [WinError 3] 系统找不到指定的路径。: '/media/yimt/e/temp/futurequant/out'
2024-08-06 15:49:24.467 | ERROR    | 9672:23380 | nxpy.service.service_player:error:82 - quant_clearer [WinError 3] 系统找不到指定的路径。: '/media/yimt/e/temp/futurequant/out'
2024-08-06 15:49:27.480 | ERROR    | 9672:23380 | nxpy.service.service_player:error:82 - quant_clearer [WinError 3] 系统找不到指定的路径。: '/media/yimt/e/temp/futurequant/out'
2024-08-07 14:48:37.585 | DEBUG    | 22612:23636 | nxpy.db.executor:make_statement:465 - sql [quant_data_clear.get_history_no.0] = [SELECT CurrValue FROM quant.t_Counter WHERE CounterID = 't_QuantTestHistory' FOR UPDATE]
2024-08-07 14:48:37.659 | DEBUG    | 22612:23636 | nxpy.db.executor:_execute:834 - sql [quant_data_clear.get_history_no.0] execute error: [1045 (28000): Access denied for user 'root'@'localhost' (using password: YES)]
2024-08-07 14:48:37.659 | ERROR    | 22612:23636 | nxpy.service.service_player:error:82 - quant_clearer failed: [code=-1, msg=1045 (28000): Access denied for user 'root'@'localhost' (using password: YES)]
2024-08-07 14:48:37.660 | INFO     | 22612:23636 | nxpy.service.service_player:info:75 - quant_clearer deal [None]->[./media/yimt/e/temp/futurequant/out\user_id\quant_id]
2024-08-07 14:48:37.661 | ERROR    | 22612:23636 | nxpy.service.service_player:error:82 - quant_clearer 'QuantServicePlayer_Future' object has no attribute 'dump_quant_data'
2024-08-07 15:03:56.819 | DEBUG    | 22048:17464 | nxpy.db.executor:make_statement:465 - sql [quant_data_clear.get_history_no.0] = [SELECT CurrValue FROM quant.t_Counter WHERE CounterID = 't_QuantTestHistory' FOR UPDATE]
2024-08-07 15:03:56.843 | DEBUG    | 22048:17464 | nxpy.db.executor:_execute:834 - sql [quant_data_clear.get_history_no.0] execute error: [1045 (28000): Access denied for user 'root'@'localhost' (using password: YES)]
2024-08-07 15:03:56.843 | ERROR    | 22048:17464 | nxpy.service.service_player:error:82 - quant_clearer failed: [code=-1, msg=1045 (28000): Access denied for user 'root'@'localhost' (using password: YES)]
2024-08-07 15:03:56.844 | INFO     | 22048:17464 | nxpy.service.service_player:info:75 - quant_clearer deal [None]->[./media/yimt/e/temp/futurequant/out\user_id\quant_id]
2024-08-07 15:03:56.844 | ERROR    | 22048:17464 | nxpy.service.service_player:error:82 - quant_clearer 'QuantServicePlayer_Future' object has no attribute 'dump_quant_data'
2024-08-07 15:06:17.724 | DEBUG    | 9052:22724 | nxpy.db.executor:make_statement:465 - sql [quant_data_clear.get_history_no.0] = [SELECT CurrValue FROM quant.t_Counter WHERE CounterID = 't_QuantTestHistory' FOR UPDATE]
2024-08-07 15:06:17.755 | DEBUG    | 9052:22724 | nxpy.db.executor:_execute:834 - sql [quant_data_clear.get_history_no.0] execute error: [1045 (28000): Access denied for user 'root'@'localhost' (using password: YES)]
2024-08-07 15:06:17.756 | ERROR    | 9052:22724 | nxpy.service.service_player:error:82 - quant_clearer failed: [code=-1, msg=1045 (28000): Access denied for user 'root'@'localhost' (using password: YES)]
2024-08-07 15:06:17.757 | INFO     | 9052:22724 | nxpy.service.service_player:info:75 - quant_clearer deal [None]->[./media/yimt/e/temp/futurequant/out\user_id\quant_id]
2024-08-07 15:06:17.757 | ERROR    | 9052:22724 | nxpy.service.service_player:error:82 - quant_clearer 'QuantServicePlayer_Future' object has no attribute 'dump_quant_data'
2024-08-07 15:16:06.026 | DEBUG    | 14976:28464 | nxpy.db.executor:make_statement:465 - sql [quant_data_clear.get_history_no.0] = [SELECT CurrValue FROM quant.t_Counter WHERE CounterID = 't_QuantTestHistory' FOR UPDATE]
2024-08-07 15:16:06.056 | DEBUG    | 14976:28464 | nxpy.db.executor:_execute:834 - sql [quant_data_clear.get_history_no.0] execute error: [1045 (28000): Access denied for user 'root'@'localhost' (using password: YES)]
2024-08-07 15:16:06.056 | ERROR    | 14976:28464 | nxpy.service.service_player:error:82 - quant_clearer failed: [code=-1, msg=1045 (28000): Access denied for user 'root'@'localhost' (using password: YES)]
2024-08-07 15:16:06.057 | INFO     | 14976:28464 | nxpy.service.service_player:info:75 - quant_clearer deal [None]->[./media/yimt/e/temp/futurequant/out\user_id\quant_id]
2024-08-07 15:16:06.057 | ERROR    | 14976:28464 | nxpy.service.service_player:error:82 - quant_clearer none history_no
2024-08-07 15:31:45.763 | DEBUG    | 14540:16816 | nxpy.db.executor:make_statement:465 - sql [quant_data_clear.get_history_no.0] = [SELECT CurrValue FROM quant.t_Counter WHERE CounterID = 't_QuantTestHistory' FOR UPDATE]
2024-08-07 15:31:45.787 | DEBUG    | 14540:16816 | nxpy.db.executor:_execute:834 - sql [quant_data_clear.get_history_no.0] execute error: [1049 (42000): Unknown database 'siminfo']
2024-08-07 15:31:45.787 | ERROR    | 14540:16816 | nxpy.service.service_player:error:82 - quant_clearer failed: [code=-1, msg=1049 (42000): Unknown database 'siminfo']
2024-08-07 15:31:45.789 | INFO     | 14540:16816 | nxpy.service.service_player:info:75 - quant_clearer deal [None]->[./media/yimt/e/temp/futurequant/out\user_id\quant_id]
2024-08-07 15:31:45.789 | ERROR    | 14540:16816 | nxpy.service.service_player:error:82 - quant_clearer none history_no
2024-08-07 15:32:28.026 | DEBUG    | 30352:21136 | nxpy.db.executor:make_statement:465 - sql [quant_data_clear.get_history_no.0] = [SELECT CurrValue FROM quant.t_Counter WHERE CounterID = 't_QuantTestHistory' FOR UPDATE]
2024-08-07 15:32:28.051 | ERROR    | 30352:21136 | nxpy.db.datasource:execute:110 - 1049 (42000): Unknown database 'quant'
2024-08-07 15:32:28.051 | DEBUG    | 30352:21136 | nxpy.db.executor:_execute:834 - sql [quant_data_clear.get_history_no.0] execute error: [1049 (42000): Unknown database 'quant']
2024-08-07 15:32:28.051 | ERROR    | 30352:21136 | nxpy.service.service_player:error:82 - quant_clearer failed: [code=-1, msg=1049 (42000): Unknown database 'quant']
2024-08-07 15:32:28.052 | INFO     | 30352:21136 | nxpy.service.service_player:info:75 - quant_clearer deal [None]->[./media/yimt/e/temp/futurequant/out\user_id\quant_id]
2024-08-07 15:32:28.053 | ERROR    | 30352:21136 | nxpy.service.service_player:error:82 - quant_clearer none history_no
2024-08-07 15:33:39.600 | DEBUG    | 22356:18728 | nxpy.db.executor:make_statement:465 - sql [quant_data_clear.get_history_no.0] = [SELECT CurrValue FROM quant.t_Counter WHERE CounterID = 't_QuantTestHistory' FOR UPDATE]
2024-08-07 15:33:39.634 | ERROR    | 22356:18728 | nxpy.db.datasource:execute:110 - 1146 (42S02): Table 'quant.t_counter' doesn't exist
2024-08-07 15:33:39.635 | DEBUG    | 22356:18728 | nxpy.db.executor:_execute:834 - sql [quant_data_clear.get_history_no.0] execute error: [1146 (42S02): Table 'quant.t_counter' doesn't exist]
2024-08-07 15:33:39.635 | ERROR    | 22356:18728 | nxpy.service.service_player:error:82 - quant_clearer failed: [code=-1, msg=1146 (42S02): Table 'quant.t_counter' doesn't exist]
2024-08-07 15:33:39.636 | INFO     | 22356:18728 | nxpy.service.service_player:info:75 - quant_clearer deal [None]->[./media/yimt/e/temp/futurequant/out\user_id\quant_id]
2024-08-07 15:42:54.341 | DEBUG    | 22056:23080 | nxpy.db.executor:make_statement:465 - sql [quant_data_clear.get_history_no.0] = [SELECT CurrValue FROM quant.t_Counter WHERE CounterID = 't_QuantTestHistory' FOR UPDATE]
2024-08-07 15:42:54.369 | ERROR    | 22056:23080 | nxpy.db.datasource:execute:110 - 1146 (42S02): Table 'quant.t_counter' doesn't exist
2024-08-07 15:42:54.369 | DEBUG    | 22056:23080 | nxpy.db.executor:_execute:834 - sql [quant_data_clear.get_history_no.0] execute error: [1146 (42S02): Table 'quant.t_counter' doesn't exist]
2024-08-07 15:42:54.370 | ERROR    | 22056:23080 | nxpy.service.service_player:error:82 - quant_clearer failed: [code=-1, msg=1146 (42S02): Table 'quant.t_counter' doesn't exist]
2024-08-07 15:42:54.371 | INFO     | 22056:23080 | nxpy.service.service_player:info:75 - quant_clearer deal [None]->[./media/yimt/e/temp/futurequant/out\user_id\quant_id]
2024-08-07 15:45:01.951 | DEBUG    | 29120:26580 | nxpy.db.executor:make_statement:465 - sql [quant_data_clear.get_history_no.0] = [SELECT CurrValue FROM quant.t_Counter WHERE CounterID = 't_QuantTestHistory' FOR UPDATE]
2024-08-07 15:45:01.977 | ERROR    | 29120:26580 | nxpy.db.datasource:execute:110 - 1146 (42S02): Table 'quant.t_counter' doesn't exist
2024-08-07 15:45:01.977 | DEBUG    | 29120:26580 | nxpy.db.executor:_execute:834 - sql [quant_data_clear.get_history_no.0] execute error: [1146 (42S02): Table 'quant.t_counter' doesn't exist]
2024-08-07 15:45:01.977 | ERROR    | 29120:26580 | nxpy.service.service_player:error:82 - quant_clearer failed: [code=-1, msg=1146 (42S02): Table 'quant.t_counter' doesn't exist]
2024-08-07 15:45:01.979 | INFO     | 29120:26580 | nxpy.service.service_player:info:75 - quant_clearer deal [None]->[./media/yimt/e/temp/futurequant/out\user_id\quant_id]
2024-08-07 15:45:39.170 | DEBUG    | 28928:21992 | nxpy.db.executor:make_statement:465 - sql [quant_data_clear.get_history_no.0] = [SELECT CurrValue FROM quant.t_Counter WHERE CounterID = 't_QuantTestHistory' FOR UPDATE]
2024-08-07 15:45:39.195 | ERROR    | 28928:21992 | nxpy.db.datasource:execute:110 - 1146 (42S02): Table 'quant.t_counter' doesn't exist
2024-08-07 15:45:39.196 | DEBUG    | 28928:21992 | nxpy.db.executor:_execute:834 - sql [quant_data_clear.get_history_no.0] execute error: [1146 (42S02): Table 'quant.t_counter' doesn't exist]
2024-08-07 15:45:39.196 | ERROR    | 28928:21992 | nxpy.service.service_player:error:82 - quant_clearer failed: [code=-1, msg=1146 (42S02): Table 'quant.t_counter' doesn't exist]
2024-08-07 15:45:39.197 | INFO     | 28928:21992 | nxpy.service.service_player:info:75 - quant_clearer deal [None]->[./media/yimt/e/temp/futurequant/out\user_id\quant_id]
2024-08-07 15:50:14.735 | DEBUG    | 10444:21840 | nxpy.db.executor:make_statement:465 - sql [quant_data_clear.get_history_no.0] = [SELECT CurrValue FROM quant.t_Counter WHERE CounterID = 't_QuantTestHistory' FOR UPDATE]
2024-08-07 15:50:14.761 | ERROR    | 10444:21840 | nxpy.db.datasource:execute:110 - 1146 (42S02): Table 'quant.t_counter' doesn't exist
2024-08-07 15:50:14.761 | DEBUG    | 10444:21840 | nxpy.db.executor:_execute:834 - sql [quant_data_clear.get_history_no.0] execute error: [1146 (42S02): Table 'quant.t_counter' doesn't exist]
2024-08-07 15:50:14.761 | ERROR    | 10444:21840 | nxpy.service.service_player:error:82 - quant_clearer failed: [code=-1, msg=1146 (42S02): Table 'quant.t_counter' doesn't exist]
2024-08-07 15:50:14.762 | INFO     | 10444:21840 | nxpy.service.service_player:info:75 - quant_clearer deal [None]->[./media/yimt/e/temp/futurequant/out\user_id\quant_id]
2024-08-07 15:50:14.763 | ERROR    | 10444:21840 | nxpy.service.service_player:error:82 - quant_clearer none history_no
2024-08-08 10:39:26.592 | DEBUG    | 22928:15156 | nxpy.db.executor:make_statement:465 - sql [quant_data_clear.get_history_no.0] = [SELECT CurrValue FROM quant.t_Counter WHERE CounterID = 't_QuantTestHistory' FOR UPDATE]
2024-08-08 10:39:26.650 | DEBUG    | 22928:15156 | nxpy.db.executor:_execute:834 - sql [quant_data_clear.get_history_no.0] execute error: [1045 (28000): Access denied for user 'root'@'localhost' (using password: YES)]
2024-08-08 10:39:26.650 | ERROR    | 22928:15156 | nxpy.service.service_player:error:82 - quant_clearer failed: [code=-1, msg=1045 (28000): Access denied for user 'root'@'localhost' (using password: YES)]
2024-08-08 10:39:26.652 | INFO     | 22928:15156 | nxpy.service.service_player:info:75 - quant_clearer deal [None]->[./media/yimt/e/temp/futurequant/out\user_id\quant_id]
2024-08-08 10:39:26.652 | ERROR    | 22928:15156 | nxpy.service.service_player:error:82 - quant_clearer none history_no
2024-08-08 10:39:26.720 | ERROR    | 22928:15156 | nxpy.service.service_player:error:82 - quant_clearer dump[None] failed: error: ['NoneType' object has no attribute 'execute']
2024-08-08 10:40:19.523 | DEBUG    | 8128:15276 | nxpy.db.executor:make_statement:465 - sql [quant_data_clear.get_history_no.0] = [SELECT CurrValue FROM quant.t_Counter WHERE CounterID = 't_QuantTestHistory' FOR UPDATE]
2024-08-08 10:40:19.552 | ERROR    | 8128:15276 | nxpy.db.datasource:execute:110 - 1146 (42S02): Table 'quant.t_counter' doesn't exist
2024-08-08 10:40:19.552 | DEBUG    | 8128:15276 | nxpy.db.executor:_execute:834 - sql [quant_data_clear.get_history_no.0] execute error: [1146 (42S02): Table 'quant.t_counter' doesn't exist]
2024-08-08 10:40:19.552 | ERROR    | 8128:15276 | nxpy.service.service_player:error:82 - quant_clearer failed: [code=-1, msg=1146 (42S02): Table 'quant.t_counter' doesn't exist]
2024-08-08 10:40:19.553 | INFO     | 8128:15276 | nxpy.service.service_player:info:75 - quant_clearer deal [None]->[./media/yimt/e/temp/futurequant/out\user_id\quant_id]
2024-08-08 10:40:40.333 | DEBUG    | 20316:9616 | nxpy.db.executor:make_statement:465 - sql [quant_data_clear.get_history_no.0] = [SELECT CurrValue FROM quant.t_Counter WHERE CounterID = 't_QuantTestHistory' FOR UPDATE]
2024-08-08 10:40:40.491 | DEBUG    | 20316:9616 | nxpy.db.executor:make_statement:465 - sql [quant_data_clear.get_history_no.1] = [UPDATE quant.t_Counter SET CurrValue = %s WHERE CounterID = 't_QuantTestHistory']
2024-08-08 10:40:40.539 | INFO     | 20316:9616 | nxpy.service.service_player:info:75 - quant_clearer deal [8755]->[./media/yimt/e/temp/futurequant/out\user_id\quant_id]
2024-08-08 10:46:58.748 | DEBUG    | 17020:5788 | nxpy.db.executor:make_statement:465 - sql [quant_data_clear.get_history_no.0] = [SELECT CurrValue FROM quant.t_Counter WHERE CounterID = 't_QuantTestHistory' FOR UPDATE]
2024-08-08 10:46:59.340 | DEBUG    | 17020:5788 | nxpy.db.executor:make_statement:465 - sql [quant_data_clear.get_history_no.1] = [UPDATE quant.t_Counter SET CurrValue = %s WHERE CounterID = 't_QuantTestHistory']
2024-08-08 10:46:59.386 | INFO     | 17020:5788 | nxpy.service.service_player:info:75 - quant_clearer deal [8756]->[./media/yimt/e/temp/futurequant/out\00030675\20211120225021]
2024-08-08 10:48:48.117 | DEBUG    | 7408:16780 | nxpy.db.executor:make_statement:465 - sql [quant_data_clear.get_history_no.0] = [SELECT CurrValue FROM quant.t_Counter WHERE CounterID = 't_QuantTestHistory' FOR UPDATE]
2024-08-08 10:48:48.506 | DEBUG    | 7408:16780 | nxpy.db.executor:make_statement:465 - sql [quant_data_clear.get_history_no.1] = [UPDATE quant.t_Counter SET CurrValue = %s WHERE CounterID = 't_QuantTestHistory']
2024-08-08 10:48:48.547 | INFO     | 7408:16780 | nxpy.service.service_player:info:75 - quant_clearer deal [8757]->[./media/yimt/e/temp/futurequant/out\00030675\20211120225021]
2024-08-08 10:50:40.811 | DEBUG    | 20048:5616 | nxpy.db.executor:make_statement:465 - sql [quant_data_clear.get_history_no.0] = [SELECT CurrValue FROM quant.t_Counter WHERE CounterID = 't_QuantTestHistory' FOR UPDATE]
2024-08-08 10:50:41.189 | DEBUG    | 20048:5616 | nxpy.db.executor:make_statement:465 - sql [quant_data_clear.get_history_no.1] = [UPDATE quant.t_Counter SET CurrValue = %s WHERE CounterID = 't_QuantTestHistory']
2024-08-08 10:50:41.234 | INFO     | 20048:5616 | nxpy.service.service_player:info:75 - quant_clearer deal [8758]->[./media/yimt/e/temp/futurequant/out\00030675\20211120225021]
2024-08-08 10:50:41.292 | ERROR    | 20048:5616 | nxpy.service.service_player:error:82 - quant_clearer dump[8758] failed: error: ['NoneType' object has no attribute 'execute']
2024-08-08 10:51:05.383 | DEBUG    | 20048:5616 | nxpy.db.executor:make_statement:465 - sql [quant_data_clear.get_history_no.0] = [SELECT CurrValue FROM quant.t_Counter WHERE CounterID = 't_QuantTestHistory' FOR UPDATE]
2024-08-08 10:51:05.401 | DEBUG    | 20048:5616 | nxpy.db.executor:make_statement:465 - sql [quant_data_clear.get_history_no.1] = [UPDATE quant.t_Counter SET CurrValue = %s WHERE CounterID = 't_QuantTestHistory']
2024-08-08 10:51:05.452 | INFO     | 20048:5616 | nxpy.service.service_player:info:75 - quant_clearer deal [8759]->[./media/yimt/e/temp/futurequant/out\00030675\20211120225021]
2024-08-08 10:51:05.507 | ERROR    | 20048:5616 | nxpy.service.service_player:error:82 - quant_clearer dump[8759] failed: error: ['NoneType' object has no attribute 'execute']
2024-08-08 10:59:18.239 | DEBUG    | 22716:9408 | nxpy.db.executor:make_statement:465 - sql [quant_data_clear.get_history_no.0] = [SELECT CurrValue FROM quant.t_Counter WHERE CounterID = 't_QuantTestHistory' FOR UPDATE]
2024-08-08 10:59:18.617 | DEBUG    | 22716:9408 | nxpy.db.executor:make_statement:465 - sql [quant_data_clear.get_history_no.1] = [UPDATE quant.t_Counter SET CurrValue = %s WHERE CounterID = 't_QuantTestHistory']
2024-08-08 10:59:18.671 | INFO     | 22716:9408 | nxpy.service.service_player:info:75 - quant_clearer deal [8760]->[./media/yimt/e/temp/futurequant/out\00030675\20211120225021]
2024-08-08 10:59:18.729 | ERROR    | 22716:9408 | nxpy.service.service_player:error:82 - quant_clearer dump[8760] failed: error: ['NoneType' object has no attribute 'execute']
2024-08-08 11:00:40.682 | DEBUG    | 22332:16588 | nxpy.db.executor:make_statement:465 - sql [quant_data_clear.get_history_no.0] = [SELECT CurrValue FROM quant.t_Counter WHERE CounterID = 't_QuantTestHistory' FOR UPDATE]
2024-08-08 11:00:40.748 | DEBUG    | 22332:16588 | nxpy.db.executor:make_statement:465 - sql [quant_data_clear.get_history_no.1] = [UPDATE quant.t_Counter SET CurrValue = %s WHERE CounterID = 't_QuantTestHistory']
2024-08-08 11:00:40.798 | INFO     | 22332:16588 | nxpy.service.service_player:info:75 - quant_clearer deal [8761]->[./media/yimt/e/temp/futurequant/out\00030675\20211120225021]
2024-08-08 11:00:40.856 | ERROR    | 22332:16588 | nxpy.service.service_player:error:82 - quant_clearer dump[8761] failed: error: ['NoneType' object has no attribute 'execute']
2024-08-08 13:29:17.431 | DEBUG    | 1504:24544 | nxpy.db.executor:make_statement:465 - sql [quant_data_clear.get_history_no.0] = [SELECT CurrValue FROM quant.t_Counter WHERE CounterID = 't_QuantTestHistory' FOR UPDATE]
2024-08-08 13:29:17.887 | DEBUG    | 1504:24544 | nxpy.db.executor:make_statement:465 - sql [quant_data_clear.get_history_no.1] = [UPDATE quant.t_Counter SET CurrValue = %s WHERE CounterID = 't_QuantTestHistory']
2024-08-08 13:29:17.940 | INFO     | 1504:24544 | nxpy.service.service_player:info:75 - quant_clearer deal [8762]->[./media/yimt/e/temp/futurequant/out\00030675\20211120225021]
2024-08-08 13:29:17.998 | ERROR    | 1504:24544 | nxpy.service.service_player:error:82 - quant_clearer dump[8762] failed: error: ['NoneType' object has no attribute 'execute']
